Iter: 000001 | Node: EQ000000 | Priority: 1.000000 | AFIR: ['300', '4', '6']
Iter: 000002 | Node: EQ000000 | Priority: 1.000000 | AFIR: ['300', '3', '13']
Iter: 000003 | Node: EQ000000 | Priority: 1.000000 | AFIR: ['300', '2', '11']
Iter: 000004 | Node: EQ000000 | Priority: 1.000000 | AFIR: ['300', '6', '14']
Iter: 000005 | Node: EQ000000 | Priority: 1.000000 | AFIR: ['300', '1', '13']
Iter: 000006 | Node: EQ000001 | Priority: 1.000000 | AFIR: ['300', '2', '8']
Iter: 000007 | Node: EQ000001 | Priority: 1.000000 | AFIR: ['300', '8', '13']
Iter: 000008 | Node: EQ000001 | Priority: 1.000000 | AFIR: ['300', '3', '8']
Iter: 000009 | Node: EQ000001 | Priority: 1.000000 | AFIR: ['300', '7', '10']
Iter: 000010 | Node: EQ000001 | Priority: 1.000000 | AFIR: ['300', '1', '5']
Iter: 000011 | Node: EQ000003 | Priority: 1.000000 | AFIR: ['300', '7', '12']
Iter: 000012 | Node: EQ000003 | Priority: 1.000000 | AFIR: ['300', '3', '4']
Iter: 000013 | Node: EQ000003 | Priority: 1.000000 | AFIR: ['300', '3', '12']
Iter: 000014 | Node: EQ000003 | Priority: 1.000000 | AFIR: ['300', '4', '10']
Iter: 000015 | Node: EQ000003 | Priority: 1.000000 | AFIR: ['300', '4', '7']
Iter: 000016 | Node: EQ000004 | Priority: 1.000000 | AFIR: ['300', '5', '14']
Iter: 000017 | Node: EQ000004 | Priority: 1.000000 | AFIR: ['300', '9', '10']
Iter: 000018 | Node: EQ000004 | Priority: 1.000000 | AFIR: ['300', '4', '12']
Iter: 000019 | Node: EQ000004 | Priority: 1.000000 | AFIR: ['300', '7', '10']
Iter: 000020 | Node: EQ000004 | Priority: 1.000000 | AFIR: ['300', '2', '11']
Iter: 000021 | Node: EQ000012 | Priority: 1.000000 | AFIR: ['300', '5', '10']
Iter: 000022 | Node: EQ000012 | Priority: 1.000000 | AFIR: ['300', '4', '6']
Iter: 000023 | Node: EQ000012 | Priority: 1.000000 | AFIR: ['300', '2', '6']
Iter: 000024 | Node: EQ000012 | Priority: 1.000000 | AFIR: ['300', '1', '11']
Iter: 000025 | Node: EQ000012 | Priority: 1.000000 | AFIR: ['300', '4', '13']
Iter: 000026 | Node: EQ000018 | Priority: 1.000000 | AFIR: ['300', '2', '11']
Iter: 000027 | Node: EQ000018 | Priority: 1.000000 | AFIR: ['300', '2', '9']
Iter: 000028 | Node: EQ000018 | Priority: 1.000000 | AFIR: ['300', '5', '10']
Iter: 000029 | Node: EQ000018 | Priority: 1.000000 | AFIR: ['300', '6', '13']
Iter: 000030 | Node: EQ000018 | Priority: 1.000000 | AFIR: ['300', '3', '9']
Iter: 000031 | Node: EQ000009 | Priority: 0.947574 | AFIR: ['300', '2', '8']
Iter: 000032 | Node: EQ000009 | Priority: 0.947574 | AFIR: ['300', '7', '14']
Iter: 000033 | Node: EQ000024 | Priority: 1.000000 | AFIR: ['300', '5', '11']
Iter: 000034 | Node: EQ000024 | Priority: 1.000000 | AFIR: ['300', '3', '13']
Iter: 000035 | Node: EQ000024 | Priority: 1.000000 | AFIR: ['300', '2', '6']
Iter: 000036 | Node: EQ000024 | Priority: 1.000000 | AFIR: ['300', '10', '14']
Iter: 000037 | Node: EQ000024 | Priority: 1.000000 | AFIR: ['300', '4', '9']
Iter: 000038 | Node: EQ000009 | Priority: 0.947574 | AFIR: ['300', '1', '13']
Iter: 000039 | Node: EQ000009 | Priority: 0.947574 | AFIR: ['300', '9', '11']
Iter: 000040 | Node: EQ000009 | Priority: 0.947574 | AFIR: ['300', '6', '8']
Iter: 000041 | Node: EQ000022 | Priority: 0.863692 | AFIR: ['300', '3', '6']
Iter: 000042 | Node: EQ000022 | Priority: 0.863692 | AFIR: ['300', '8', '11']
Iter: 000043 | Node: EQ000022 | Priority: 0.863692 | AFIR: ['300', '1', '5']
Iter: 000044 | Node: EQ000022 | Priority: 0.863692 | AFIR: ['300', '9', '12']
Iter: 000045 | Node: EQ000022 | Priority: 0.863692 | AFIR: ['300', '2', '14']
Iter: 000046 | Node: EQ000016 | Priority: 0.863691 | AFIR: ['300', '4', '12']
Iter: 000047 | Node: EQ000016 | Priority: 0.863691 | AFIR: ['300', '4', '7']
Iter: 000048 | Node: EQ000016 | Priority: 0.863691 | AFIR: ['300', '3', '13']
Iter: 000049 | Node: EQ000016 | Priority: 0.863691 | AFIR: ['300', '9', '12']
Iter: 000050 | Node: EQ000016 | Priority: 0.863691 | AFIR: ['300', '2', '13']
Iter: 000051 | Node: EQ000021 | Priority: 0.848846 | AFIR: ['300', '9', '12']
Iter: 000052 | Node: EQ000021 | Priority: 0.848846 | AFIR: ['300', '6', '10']
Iter: 000053 | Node: EQ000021 | Priority: 0.848846 | AFIR: ['300', '3', '13']
Iter: 000054 | Node: EQ000021 | Priority: 0.848846 | AFIR: ['300', '10', '13']
Iter: 000055 | Node: EQ000021 | Priority: 0.848846 | AFIR: ['300', '2', '11']
Iter: 000056 | Node: EQ000017 | Priority: 0.760206 | AFIR: ['300', '11', '14']
Iter: 000057 | Node: EQ000017 | Priority: 0.760206 | AFIR: ['300', '6', '7']
Iter: 000058 | Node: EQ000017 | Priority: 0.760206 | AFIR: ['300', '3', '11']
Iter: 000059 | Node: EQ000017 | Priority: 0.760206 | AFIR: ['300', '4', '7']
Iter: 000060 | Node: EQ000017 | Priority: 0.760206 | AFIR: ['300', '5', '8']
Iter: 000061 | Node: EQ000008 | Priority: 0.711938 | AFIR: ['300', '4', '12']
Iter: 000062 | Node: EQ000008 | Priority: 0.711938 | AFIR: ['300', '1', '14']
Iter: 000063 | Node: EQ000008 | Priority: 0.711938 | AFIR: ['300', '2', '6']
Iter: 000064 | Node: EQ000008 | Priority: 0.711938 | AFIR: ['300', '1', '7']
Iter: 000065 | Node: EQ000008 | Priority: 0.711938 | AFIR: ['300', '11', '13']
Iter: 000066 | Node: EQ000011 | Priority: 0.711938 | AFIR: ['300', '9', '10']
Iter: 000067 | Node: EQ000011 | Priority: 0.711938 | AFIR: ['300', '7', '11']
Iter: 000068 | Node: EQ000011 | Priority: 0.711938 | AFIR: ['300', '3', '12']
Iter: 000069 | Node: EQ000011 | Priority: 0.711938 | AFIR: ['300', '5', '11']
Iter: 000070 | Node: EQ000011 | Priority: 0.711938 | AFIR: ['300', '9', '12']
Iter: 000071 | Node: EQ000002 | Priority: 0.630177 | AFIR: ['300', '6', '9']
