Iter: 000001 | Node: EQ000000 | Priority: 1.000000 | AFIR: ['300', '4', '7']
Iter: 000002 | Node: EQ000000 | Priority: 1.000000 | AFIR: ['300', '7', '12']
Iter: 000003 | Node: EQ000000 | Priority: 1.000000 | AFIR: ['300', '1', '7']
Iter: 000004 | Node: EQ000000 | Priority: 1.000000 | AFIR: ['300', '5', '10']
Iter: 000005 | Node: EQ000000 | Priority: 1.000000 | AFIR: ['300', '1', '5']
Iter: 000006 | Node: EQ000001 | Priority: 1.000000 | AFIR: ['300', '1', '7']
Iter: 000007 | Node: EQ000001 | Priority: 1.000000 | AFIR: ['300', '5', '10']
Iter: 000008 | Node: EQ000001 | Priority: 1.000000 | AFIR: ['300', '4', '7']
Iter: 000009 | Node: EQ000001 | Priority: 1.000000 | AFIR: ['300', '4', '10']
Iter: 000010 | Node: EQ000001 | Priority: 1.000000 | AFIR: ['300', '1', '5']
Iter: 000011 | Node: EQ000002 | Priority: 1.000000 | AFIR: ['300', '4', '7']
Iter: 000012 | Node: EQ000002 | Priority: 1.000000 | AFIR: ['300', '4', '12']
Iter: 000013 | Node: EQ000002 | Priority: 1.000000 | AFIR: ['300', '7', '10']
Iter: 000014 | Node: EQ000002 | Priority: 1.000000 | AFIR: ['300', '1', '5']
Iter: 000015 | Node: EQ000002 | Priority: 1.000000 | AFIR: ['300', '1', '7']
Iter: 000016 | Node: EQ000011 | Priority: 0.873700 | AFIR: ['300', '5', '10']
Iter: 000017 | Node: EQ000011 | Priority: 0.873700 | AFIR: ['300', '4', '7']
Iter: 000018 | Node: EQ000011 | Priority: 0.873700 | AFIR: ['300', '1', '12']
Iter: 000019 | Node: EQ000011 | Priority: 0.873700 | AFIR: ['300', '4', '12']
Iter: 000020 | Node: EQ000012 | Priority: 0.989542 | AFIR: ['300', '4', '7']
Iter: 000021 | Node: EQ000012 | Priority: 0.989542 | AFIR: ['300', '5', '12']
Iter: 000022 | Node: EQ000012 | Priority: 0.989542 | AFIR: ['300', '1', '5']
Iter: 000023 | Node: EQ000012 | Priority: 0.989542 | AFIR: ['300', '1', '4']
Iter: 000024 | Node: EQ000012 | Priority: 0.989542 | AFIR: ['300', '1', '12']
Iter: 000025 | Node: EQ000011 | Priority: 0.873700 | AFIR: ['300', '5', '12']
Iter: 000026 | Node: EQ000014 | Priority: 0.863692 | AFIR: ['300', '5', '12']
Iter: 000027 | Node: EQ000015 | Priority: 0.966772 | AFIR: ['300', '5', '12']
Iter: 000028 | Node: EQ000015 | Priority: 0.966772 | AFIR: ['300', '1', '5']
Iter: 000029 | Node: EQ000015 | Priority: 0.966772 | AFIR: ['300', '4', '7']
Iter: 000030 | Node: EQ000015 | Priority: 0.966772 | AFIR: ['300', '5', '10']
Iter: 000031 | Node: EQ000016 | Priority: 0.972540 | AFIR: ['300', '4', '7']
Iter: 000032 | Node: EQ000016 | Priority: 0.972540 | AFIR: ['300', '1', '7']
