# RCMC contracted super-state rate matrix D [s^-1]  pop_step=335  T=273.15 K  n_superstates=2
# superstate_members: EQ8=[EQ8+EQ9+EQ11+EQ13+EQ10+EQ30+EQ27+EQ28+EQ16+EQ12+EQ6+EQ32+EQ22+EQ14+EQ7+EQ17+EQ26+EQ18+EQ29+EQ33+EQ15+EQ25+EQ31+EQ3+EQ20],  EQ19=[EQ19+EQ24+EQ5+EQ4+EQ0+EQ1+EQ2+EQ21+EQ23]
node,EQ8,EQ19
EQ8,-2.129088e-11,6.944271e-06
EQ19,2.129088e-11,-6.944271e-06

# RCMC transient population  pop_step=335  T=273.15 K  t=1e-05 s
node,population
EQ0,5.61468229e-03
EQ1,1.98683293e-01
EQ2,2.55081894e-01
EQ3,3.75355468e-12
EQ4,9.13916300e-03
EQ5,5.61474631e-03
EQ6,2.67832360e-12
EQ7,3.37230852e-12
EQ8,1.38013433e-11
EQ9,1.48283243e-12
EQ10,3.54218476e-12
EQ11,3.37230810e-12
EQ12,2.51656915e-12
EQ13,8.43749198e-12
EQ14,1.38013448e-11
EQ15,8.43749221e-12
EQ16,5.60184930e-12
EQ17,1.16508487e-11
EQ18,5.74869430e-12
EQ19,1.98683293e-01
EQ20,2.51656939e-12
EQ21,2.55081930e-01
EQ22,1.48283256e-12
EQ23,6.29618358e-02
EQ24,9.13916240e-03
EQ25,3.54218494e-12
EQ26,2.65172174e-12
EQ27,1.16508484e-11
EQ28,2.65172169e-12
EQ29,2.67832356e-12
EQ30,8.53205980e-13
EQ31,8.53206036e-13
EQ32,9.67962883e-13
EQ33,9.67962863e-13
