Iter: 000001 | Node: EQ000000 | Priority: 0.000000 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000003 | Node: EQ000000 | Priority: 0.000000 | AFIR: ['250', '1', '7'] | Status: DONE
Iter: 000002 | Node: EQ000000 | Priority: 0.000000 | AFIR: ['250', '7', '12'] | Status: DONE
Iter: 000004 | Node: EQ000000 | Priority: 0.000000 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000005 | Node: EQ000001 | Priority: 0.984023 | AFIR: ['250', '4', '12'] | Status: DONE
Iter: 000008 | Node: EQ000006 | Priority: 0.596203 | AFIR: ['250', '5', '12'] | Status: DONE
Iter: 000009 | Node: EQ000006 | Priority: 0.596203 | AFIR: ['250', '4', '12'] | Status: DONE
Iter: 000010 | Node: EQ000006 | Priority: 0.596203 | AFIR: ['250', '7', '10'] | Status: DONE
Iter: 000011 | Node: EQ000006 | Priority: 0.596203 | AFIR: ['250', '7', '12'] | Status: DONE
Iter: 000012 | Node: EQ000006 | Priority: 0.596203 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000013 | Node: EQ000006 | Priority: 0.596203 | AFIR: ['250', '4', '10'] | Status: DONE
Iter: 000014 | Node: EQ000006 | Priority: 0.596203 | AFIR: ['250', '4', '7'] | Status: DONE
Iter: 000015 | Node: EQ000006 | Priority: 0.596203 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000016 | Node: EQ000006 | Priority: 0.596203 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000007 | Node: EQ000001 | Priority: 0.770623 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000017 | Node: EQ000006 | Priority: 0.596203 | AFIR: ['250', '1', '7'] | Status: DONE
Iter: 000006 | Node: EQ000001 | Priority: 0.984023 | AFIR: ['250', '7', '12'] | Status: DONE
Iter: 000018 | Node: EQ000001 | Priority: 0.303496 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000019 | Node: EQ000001 | Priority: 0.303496 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000020 | Node: EQ000007 | Priority: 0.310061 | AFIR: ['250', '1', '7'] | Status: DONE
Iter: 000021 | Node: EQ000007 | Priority: 0.310061 | AFIR: ['250', '7', '10'] | Status: DONE
Iter: 000024 | Node: EQ000007 | Priority: 0.310061 | AFIR: ['250', '4', '10'] | Status: DONE
Iter: 000022 | Node: EQ000007 | Priority: 0.310061 | AFIR: ['250', '7', '12'] | Status: DONE
