# RCMC contracted super-state rate matrix D [s^-1]  pop_step=395  T=273.15 K  n_superstates=2
# superstate_members: EQ16=[EQ16+EQ10+EQ9+EQ7+EQ13+EQ5+EQ15+EQ4+EQ0+EQ18+EQ14+EQ20+EQ3+EQ11+EQ17+EQ6+EQ21+EQ1],  EQ28=[EQ28+EQ30+EQ29+EQ27+EQ22+EQ36+EQ2+EQ19+EQ31+EQ25+EQ33+EQ24+EQ37+EQ34+EQ26+EQ23+EQ39+EQ12+EQ38+EQ35+EQ8+EQ32]
node,EQ16,EQ28
EQ16,-6.292136e-14,4.658381e-30
EQ28,6.292136e-14,-4.658381e-30

# RCMC transient population  pop_step=395  T=273.15 K  t=1e-05 s
node,population
EQ0,8.73011808e-04
EQ1,5.37700608e-02
EQ2,4.07984660e-20
EQ3,4.37213795e-03
EQ4,1.31129598e-03
EQ5,1.38204458e-02
EQ6,1.03022011e-01
EQ7,7.96202218e-02
EQ8,6.28104671e-20
EQ9,2.68163187e-01
EQ10,2.55006450e-02
EQ11,4.37213801e-03
EQ12,4.07985493e-20
EQ13,2.55006456e-02
EQ14,1.31129596e-03
EQ15,2.11583761e-03
EQ16,2.68163194e-01
EQ17,7.96202219e-02
EQ18,1.38204461e-02
EQ19,6.28103085e-20
EQ20,8.73144084e-04
EQ21,5.37700589e-02
EQ22,8.78366833e-20
EQ23,8.78368651e-20
EQ24,6.03910142e-20
EQ25,1.68746202e-19
EQ26,3.47594342e-20
EQ27,3.47593431e-20
EQ28,1.68745762e-19
EQ29,6.03908704e-20
EQ30,7.98571999e-21
EQ31,5.33945930e-21
EQ32,5.33947267e-21
EQ33,7.98574084e-21
EQ34,3.22972218e-20
EQ35,1.82406676e-20
EQ36,2.89054756e-20
EQ37,1.17725058e-19
EQ38,5.87683034e-20
EQ39,2.89055382e-20
