Iter: 000003 | Node: EQ000000 | Priority: 0.000000 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000004 | Node: EQ000000 | Priority: 0.000000 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000005 | Node: EQ000001 | Priority: 0.999238 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000006 | Node: EQ000001 | Priority: 0.999238 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000001 | Node: EQ000000 | Priority: 0.000000 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000002 | Node: EQ000000 | Priority: 0.000000 | AFIR: ['250', '5', '9'] | Status: DONE
Iter: 000009 | Node: EQ000003 | Priority: 0.539614 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000008 | Node: EQ000001 | Priority: 0.999238 | AFIR: ['250', '11', '14'] | Status: DONE
Iter: 000007 | Node: EQ000001 | Priority: 0.999238 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000012 | Node: EQ000003 | Priority: 0.539238 | AFIR: ['250', '4', '6'] | Status: DONE
Iter: 000011 | Node: EQ000003 | Priority: 0.539614 | AFIR: ['250', '11', '14'] | Status: DONE
Iter: 000010 | Node: EQ000003 | Priority: 0.539614 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000015 | Node: EQ000003 | Priority: 0.539238 | AFIR: ['250', '4', '9'] | Status: DONE
Iter: 000013 | Node: EQ000003 | Priority: 0.539238 | AFIR: ['250', '6', '11'] | Status: DONE
Iter: 000017 | Node: EQ000003 | Priority: 0.539238 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000018 | Node: EQ000003 | Priority: 0.539238 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000014 | Node: EQ000003 | Priority: 0.539238 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000020 | Node: EQ000003 | Priority: 0.539238 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000019 | Node: EQ000003 | Priority: 0.539238 | AFIR: ['250', '5', '9'] | Status: DONE
Iter: 000021 | Node: EQ000003 | Priority: 0.539238 | AFIR: ['250', '6', '9'] | Status: DONE
Iter: 000022 | Node: EQ000003 | Priority: 0.539238 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000024 | Node: EQ000001 | Priority: 0.455853 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000016 | Node: EQ000003 | Priority: 0.539238 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000025 | Node: EQ000001 | Priority: 0.455853 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000026 | Node: EQ000007 | Priority: 0.675288 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000027 | Node: EQ000007 | Priority: 0.675288 | AFIR: ['250', '4', '6'] | Status: DONE
Iter: 000029 | Node: EQ000007 | Priority: 0.675288 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000028 | Node: EQ000007 | Priority: 0.675288 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000030 | Node: EQ000007 | Priority: 0.675288 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000023 | Node: EQ000003 | Priority: 0.539238 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000033 | Node: EQ000007 | Priority: 0.675145 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000034 | Node: EQ000007 | Priority: 0.675145 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000035 | Node: EQ000007 | Priority: 0.675145 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000032 | Node: EQ000007 | Priority: 0.675288 | AFIR: ['250', '11', '14'] | Status: DONE
Iter: 000031 | Node: EQ000007 | Priority: 0.675288 | AFIR: ['250', '6', '11'] | Status: DONE
Iter: 000037 | Node: EQ000007 | Priority: 0.675145 | AFIR: ['250', '4', '9'] | Status: DONE
Iter: 000039 | Node: EQ000007 | Priority: 0.675145 | AFIR: ['250', '6', '9'] | Status: DONE
Iter: 000036 | Node: EQ000007 | Priority: 0.675145 | AFIR: ['250', '5', '9'] | Status: DONE
Iter: 000041 | Node: EQ000001 | Priority: 0.147990 | AFIR: ['250', '4', '9'] | Status: DONE
Iter: 000040 | Node: EQ000007 | Priority: 0.675145 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000038 | Node: EQ000007 | Priority: 0.675145 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000042 | Node: EQ000001 | Priority: 0.147990 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000043 | Node: EQ000001 | Priority: 0.147944 | AFIR: ['250', '4', '11'] | Status: DONE
