# RCMC contracted super-state rate matrix D [s^-1]  pop_step=745  T=273.15 K  n_superstates=2
# superstate_members: EQ21=[EQ21+EQ24+EQ30+EQ19+EQ17+EQ27+EQ14+EQ11+EQ8+EQ1+EQ18+EQ0+EQ15+EQ32+EQ7+EQ13+EQ33+EQ3+EQ4+EQ12+EQ2+EQ26+EQ9+EQ16+EQ34+EQ28+EQ5+EQ20+EQ29],  EQ40=[EQ40+EQ48+EQ41+EQ36+EQ35+EQ38+EQ47+EQ44+EQ46+EQ23+EQ10+EQ6+EQ39+EQ49+EQ42+EQ43+EQ45+EQ31+EQ37+EQ25+EQ22]
node,EQ21,EQ40
EQ21,-1.425755e-12,2.516217e-30
EQ40,1.425755e-12,-2.516217e-30

# RCMC transient population  pop_step=745  T=273.15 K  t=1e-05 s
node,population
EQ0,4.59708390e-05
EQ1,6.02912265e-02
EQ2,5.11010216e-04
EQ3,7.13197035e-02
EQ4,4.63479539e-05
EQ5,4.59716680e-05
EQ6,1.33636543e-18
EQ7,2.75055010e-01
EQ8,8.60977769e-05
EQ9,1.29649813e-01
EQ10,9.70389707e-19
EQ11,5.11010142e-04
EQ12,2.63224145e-02
EQ13,1.27181973e-04
EQ14,2.63224169e-02
EQ15,7.70826014e-06
EQ16,1.19644823e-04
EQ17,7.13197046e-02
EQ18,4.30484150e-05
EQ19,1.19644849e-04
EQ20,7.70825974e-06
EQ21,2.75055035e-01
EQ22,1.33636677e-18
EQ23,2.29979730e-18
EQ24,1.27181964e-04
EQ25,9.70390632e-19
EQ26,8.60977770e-05
EQ27,4.63479518e-05
EQ28,4.30484150e-05
EQ29,1.09580161e-03
EQ30,1.03913609e-04
EQ31,2.29979928e-18
EQ32,1.09580158e-03
EQ33,1.03913607e-04
EQ34,6.02912237e-02
EQ35,1.15384022e-18
EQ36,1.96574700e-18
EQ37,1.54940747e-18
EQ38,8.50409582e-19
EQ39,3.92165163e-18
EQ40,3.92164647e-18
EQ41,1.54940581e-18
EQ42,1.96574740e-18
EQ43,1.15384036e-18
EQ44,9.49615395e-19
EQ45,8.50409685e-19
EQ46,6.15136543e-19
EQ47,6.15136567e-19
EQ48,4.09971960e-19
EQ49,6.53998067e-19
